Run	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[strain]	Sample Characteristic Ontology Term[strain]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[initial time point]	Sample Characteristic Ontology Term[initial time point]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[sex]	Factor Value Ontology Term[sex]	Analysed
SRR332924	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR332925	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		50-200 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR332926	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		50-200 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR332927	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		50-200 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR350954	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350955	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR350956	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350957	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR350958	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		50-200 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350977	gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		80-270 minute		cleavage of the egg cell		gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350987	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		530-680 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350988	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		530-680 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350989	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		530-680 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350990	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		560-710 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350991	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		560-710 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350992	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		560-710 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350993	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		560-710 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR350994	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		590-740 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350995	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		590-740 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR350996	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		590-740 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350997	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		620-770 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR350998	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		620-770 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR350999	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		620-770 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351000	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		290-440 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351001	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		290-440 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351002	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		320-470 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351003	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		320-470 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351004	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		350-500 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351005	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		350-500 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351006	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		350-500 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351007	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		380-530 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351008	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		380-530 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351009	gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		140-290 minute		cleavage of the egg cell		gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351010	enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		200-350 minute		cleavage of the egg cell		enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351011	enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		200-350 minute		cleavage of the egg cell		enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351012	enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		200-350 minute		cleavage of the egg cell		enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351013	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		440-590 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351014	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		440-590 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351015	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		440-590 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351016	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		440-590 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351017	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		500-650 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351018	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		500-650 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351019	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		500-650 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351020	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		500-650 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351021	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		650-800 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351022	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		650-800 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351023	gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		110-300 minute		cleavage of the egg cell		gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351024	gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		110-300 minute		cleavage of the egg cell		gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351025	enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		170-320 minute		cleavage of the egg cell		enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351027	enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		170-320 minute		cleavage of the egg cell		enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
